loss_train,loss_test
0.8917222619056702,0.807
0.8495868968963624,0.807
0.8446287941932679,0.809
0.8383057713508606,0.803
0.8464372205734253,0.801
0.833930847644806,0.808
0.8590656471252441,0.802
0.840771131515503,0.803
0.8452100825309753,0.801
0.8530410075187683,0.8
0.8637068796157837,0.802
0.8462249112129211,0.803
0.8505092000961304,0.805
0.8336579489707947,0.808
0.8405773878097534,0.803
0.8496083736419677,0.801
0.8479447793960572,0.804
0.8444350600242615,0.805
0.8455484199523926,0.799
0.8605402445793152,0.804
0.8416938519477845,0.802
0.8478843903541565,0.802
0.8361210250854492,0.801
0.8365150117874145,0.801
0.8449515533447266,0.803
0.8459714269638061,0.8
0.8282964396476745,0.801
0.8449679398536682,0.803
0.846612708568573,0.803
0.8363610100746155,0.799
0.85003253698349,0.802
0.8435652256011963,0.804
0.8433601021766662,0.803
0.8384817719459534,0.8
0.8334926629066467,0.804
0.8476519632339478,0.806
0.8510981559753418,0.806
0.8508338332176208,0.809
0.840670747756958,0.798
0.8651435279846191,0.804
0.8590739774703979,0.807
0.8345875072479249,0.802
0.8432529067993164,0.809
0.8433381390571594,0.802
0.8408618974685669,0.8
0.8380450129508972,0.799
0.8357200813293457,0.801
0.8518119335174561,0.801
0.8279562306404114,0.803
0.8385502004623413,0.801
0.8412881731987,0.802
0.8393743181228638,0.806
0.8425946164131165,0.804
0.8372769474983215,0.815
0.8392992591857911,0.8
0.8342452430725098,0.801
0.83515376329422,0.803
0.8352078151702881,0.8
0.8407104277610778,0.803
0.8413162732124329,0.809
0.8328917503356934,0.801
0.8464266514778137,0.802
0.8339543843269348,0.81
0.8531123661994934,0.803
0.8383468246459961,0.801
0.8413713216781616,0.803
0.8341222524642944,0.801
0.8388623762130737,0.803
0.8264259195327759,0.801
0.8357044911384582,0.801
0.8402724790573121,0.802
0.839015793800354,0.799
0.8305525422096253,0.799
0.8279288482666015,0.802
0.8485367393493652,0.8
0.8370332741737365,0.808
0.8303314900398254,0.803
0.8271573948860168,0.802
0.834514033794403,0.804
0.8363802528381348,0.803
0.8428395533561707,0.804
0.8365240550041199,0.8
0.8367613530158997,0.801
0.8382761764526367,0.801
0.8408898258209229,0.801
0.8321574664115906,0.8
0.84348557472229,0.803
0.8351859354972839,0.802
0.8468994069099426,0.801
0.8365265965461731,0.799
0.8403946757316589,0.803
0.8346301221847534,0.799
0.8306167030334473,0.802
0.8388260412216186,0.8
0.8468109965324402,0.804
0.8377302026748658,0.804
0.8434355306625366,0.801
0.8257614946365357,0.802
0.8329173660278321,0.798
0.853887767791748,0.802
0.8404811263084412,0.801
0.838486065864563,0.802
0.8397480607032776,0.802
0.8385522222518921,0.808
0.8357932090759277,0.809
0.825743989944458,0.799
0.8254543304443359,0.798
0.8403634977340698,0.8
0.8324381303787232,0.8
0.8640273952484131,0.801
0.8279041576385499,0.799
0.8428853225708007,0.8
0.8454818058013917,0.799
0.8298182272911072,0.799
0.830071017742157,0.799
0.8376587343215942,0.8
0.8475834321975708,0.8
0.8299075412750244,0.8
0.8298481774330139,0.803
0.8344001269340515,0.8
0.8520730590820312,0.798
0.8418389296531678,0.801
0.8354429388046265,0.802
0.8366818070411682,0.801
0.8403468084335327,0.801
0.8288471841812134,0.798
0.8220307111740113,0.799
0.8459665489196777,0.802
0.8415439653396607,0.799
0.823126220703125,0.798
0.8328626418113708,0.802
0.8662791275978088,0.8
0.8600114226341248,0.8
0.8242235493659973,0.798
0.8468203210830688,0.802
0.8350861191749572,0.804
0.8318461728096008,0.8
0.8229496884346008,0.804
0.8271475195884704,0.803
0.8360168480873108,0.799
0.8495217537879944,0.799
0.8250086617469787,0.801
0.8554331803321839,0.811
0.8351570844650269,0.801
0.8285041165351867,0.798
0.8353691577911377,0.801
0.8360134315490723,0.804
0.8324949383735657,0.802
0.8299533557891846,0.815
0.836602737903595,0.801
0.830283305644989,0.801
0.8270279502868653,0.8
0.827789261341095,0.802
0.8251597547531128,0.8
0.8308983755111694,0.799
0.828990638256073,0.799
0.8296077394485474,0.799
0.8265871500968933,0.8
0.8395085906982422,0.804
0.8390159487724305,0.801
0.8396204829216003,0.804
0.8319451594352723,0.801
0.848324875831604,0.8
0.8399912238121032,0.799
0.837131359577179,0.807
0.8271345376968384,0.805
0.8483642530441284,0.801
0.8275377464294433,0.8
0.8220183277130126,0.804
0.8221923470497131,0.799
0.82710196018219,0.798
0.8269717288017273,0.801
0.8189142966270446,0.8
0.8247754430770874,0.801
0.8391487979888916,0.798
0.8202255916595459,0.806
0.8360022878646851,0.807
0.8429281163215637,0.801
0.8391431093215942,0.8
0.8292267656326294,0.801
0.8319050168991089,0.799
0.8224180722236634,0.801
0.8290076065063476,0.8
0.8404214525222778,0.798
0.8428214001655578,0.8
0.825707516670227,0.799
0.8272966289520264,0.8
0.8267956280708313,0.8
0.825932171344757,0.804
0.8272846460342407,0.805
0.8225790429115295,0.8
0.8237725186347962,0.802
0.8223902463912964,0.8
0.8198099899291992,0.806
0.8369512772560119,0.798
0.8266706943511963,0.801
0.8258752202987671,0.8
0.8324637341499329,0.8
0.825985095500946,0.801
0.8255776190757751,0.801
0.8408263492584228,0.801
0.8381317377090454,0.803
0.8360238480567932,0.799
0.8266662049293518,0.8
0.8322439312934875,0.801
0.8285949420928955,0.799
0.828750867843628,0.8
0.8318535518646241,0.801
0.8338655543327331,0.799
0.82879718542099,0.799
0.8325247693061829,0.798
0.8329356694221497,0.8
0.8337812232971191,0.8
0.8310801196098327,0.799
0.8325795602798461,0.799
0.8232765436172486,0.8
0.8263690781593322,0.8
0.8342519187927246,0.799
0.8618307566642761,0.805
0.8281868410110473,0.801
0.8415863943099976,0.805
0.8252200007438659,0.803
0.8324853014945984,0.799
0.8233376908302307,0.799
0.8270322966575623,0.8
0.8368682479858398,0.801
0.8405640149116516,0.799
0.8444726943969727,0.8
0.8256505823135376,0.798
0.8289476346969604,0.797
0.822814736366272,0.801
0.826611168384552,0.801
0.822836525440216,0.803
0.8256333780288696,0.799
0.8156552529335022,0.8
0.81510817527771,0.801
0.8274266338348388,0.801
0.8254633736610413,0.801
0.8277645897865296,0.804
0.8285788559913635,0.8
0.8304805421829223,0.797
0.8264665651321411,0.799
0.8423361301422119,0.8
0.8394949889183044,0.801
0.8203008151054383,0.803
0.8333859848976135,0.801
0.8372211384773255,0.8
0.8419591856002807,0.801
0.8305009913444519,0.811
0.8331447005271911,0.805
0.8260280585289002,0.802
0.8265509009361267,0.802
0.8216257023811341,0.8
0.8301455664634705,0.798
0.832156732082367,0.799
0.8189767837524414,0.798
0.8259781765937805,0.799
0.8350862526893615,0.799
0.830978455543518,0.8
0.8216796255111695,0.798
0.8169328022003174,0.799
0.8225589990615845,0.798
0.8256501293182373,0.799
0.8314940619468689,0.801
0.8247073125839234,0.802
0.8230583143234252,0.804
0.831153256893158,0.799
0.8407727789878845,0.8
0.8263320779800415,0.802
